Feature_Set,Split,Train_Size,Test_Size,R2_LGBM,R2_XGB,R2_RF,R2_Ensemble,MAE_LGBM,MAE_XGB,MAE_RF,MAE_Ensemble,RMSE_LGBM,RMSE_XGB,RMSE_RF,RMSE_Ensemble
OpenEye_Morgan,1,3105,1034,0.6365652192923485,0.6346014202103158,0.5721083992600087,0.6304505589170228,0.5312512610336684,0.5325124399389936,0.5694237403823486,0.5327810539475535,0.7140814653244514,0.7160081154034443,0.7748210269812169,0.720063491712571
OpenEye_Morgan,2,3105,1034,0.5942845787584392,0.5952680836505779,0.5640011063319526,0.6015281689950076,0.5477583303065622,0.5468072744356594,0.5717730987417903,0.5414294747030289,0.7519130886168637,0.7510011699754998,0.7794703153369676,0.745170578976677
OpenEye_Morgan,3,3105,1034,0.5856829772582666,0.5784770787217614,0.5325957482283212,0.5838692952158052,0.5390010574496896,0.5461272448082266,0.5689912901806136,0.5374374973271607,0.7305995446618875,0.7369255365034454,0.775995741473953,0.7321969063805787
OpenEye_Morgan,4,3105,1034,0.5103374679073543,0.5102942412422042,0.48282725507892,0.5232418695289516,0.5398476283982855,0.5378418208552053,0.5536327791829102,0.53082664700645,0.7303215046609648,0.7303537397865583,0.7505566315777606,0.7206339291327797
OpenEye_Morgan,5,3105,1034,0.6651289354601513,0.6635029427836161,0.6361850750898843,0.6721019281632985,0.5129137057447037,0.5114287140060438,0.524168539782372,0.5013747775152888,0.6902995393733381,0.6919734116636581,0.7195136341900118,0.683074705650618
OpenEye_Morgan,6,3105,1034,0.48563455577304226,0.47477806308149617,0.44350234348011164,0.48848272515643476,0.5534963046193803,0.56448532746885,0.5664616278485392,0.5503132709770222,0.7530475792398171,0.7609532093764287,0.7832820865768607,0.7509597791991172
MOE_OpenEye,0,3105,1034,0.49940132026480377,0.5191262269049568,0.4988217592151778,0.5209575782249767,0.569526211053336,0.5612307204005852,0.5701528854768818,0.5576981095447856,0.7783605840211246,0.7628717467776389,0.7788110216720987,0.7614177073214297
MOE_OpenEye,1,3105,1034,0.5874424803060183,0.5951456219618203,0.5955989339894763,0.6056281392900857,0.5533472996176684,0.5452987820036868,0.5495208663001506,0.5392623963651583,0.7608109786448265,0.7536747008484747,0.7532526410727225,0.7438536133349712
MOE_OpenEye,2,3105,1034,0.583637523202817,0.5822927106479494,0.572869379219412,0.5919056074205539,0.5538561633317384,0.5483932592006441,0.5622837191123898,0.5452795611612616,0.7617152992327288,0.7629444427520838,0.7715023270888499,0.7541143423284699
MOE_OpenEye,3,3105,1034,0.5604205458111324,0.55382695495595,0.5485888214518704,0.5678800889331991,0.5502035480271926,0.5547043240600674,0.5563567181084235,0.5442552477312278,0.7525436600835529,0.7581666437337437,0.7626041483454189,0.7461311088153223
MOE_OpenEye,4,3105,1034,0.5086968459983725,0.49940026241641533,0.4794878351185644,0.5136389860873117,0.5397046663118171,0.5423724321424385,0.5540827910801657,0.5322984844777446,0.7315439583194743,0.7384327685777715,0.7529759303459698,0.7278552675941753
MOE_OpenEye,5,3105,1034,0.6475292975556858,0.6496105213352625,0.634580983087889,0.6564361825713971,0.5121678970485047,0.5140904116999481,0.5289490131906881,0.5084226500708978,0.7082071128034547,0.7061131519430687,0.721098089058402,0.6992017104629468
MOE_OpenEye,6,3105,1034,0.47699485276252385,0.491604654313591,0.46097959361505936,0.4931254063863204,0.5569820575984229,0.5495157111774792,0.5689792414170334,0.5494904388002185,0.759345644264842,0.7486646158704146,0.7708841709838689,0.7475440450692122
All_Combined,0,3105,1034,0.5770165556871675,0.5807986150310369,0.532329363359147,0.5787747155343157,0.5257096828267278,0.5226646001532701,0.5431980292461561,0.5204376551523705,0.7154802827881904,0.7122744068320453,0.7523259406382679,0.7139917628329252
All_Combined,1,3105,1034,0.6420241334857786,0.6367753787557527,0.6161862604133144,0.6440798641694117,0.5169919098059444,0.5232870694055317,0.5315343310399588,0.514061375108053,0.7086983011891217,0.7138749734216419,0.7338288400875096,0.7066604676170812
All_Combined,2,3105,1034,0.6213585606803511,0.6165855193607854,0.5918256898663574,0.6226471725412352,0.5293034185771655,0.5352453322382915,0.551243440583184,0.5287524532602331,0.7263918420723935,0.7309558437164503,0.7541881782162838,0.7251547417494381
All_Combined,3,3105,1034,0.6132449766350732,0.6092557849633271,0.5704914229567053,0.6126819484687137,0.5125087151713166,0.5168572204486545,0.5361101138096376,0.5107839857605144,0.7058801839969122,0.7095112517903848,0.7438732285283991,0.7063937983840114
All_Combined,4,3105,1034,0.566492334449339,0.5514230216474292,0.5224709329193911,0.5653596234314862,0.5007863396790421,0.5047012602475902,0.5283177559617244,0.4986193567134983,0.6871697648606686,0.6990112129825293,0.7212163404564094,0.6880669312108649
All_Combined,5,3105,1034,0.6918920840137687,0.6946176598370157,0.6576962233636091,0.6945293184783186,0.48602484801599755,0.4815338524028918,0.5078381361089273,0.4805359791250994,0.6621405732094773,0.6592053625261509,0.6979183506940032,0.6593007034787168
All_Combined,6,3105,1034,0.5122910326193095,0.5234507836134829,0.49104659453329913,0.5254672705370157,0.5360883062239168,0.5262572204766929,0.5466312179384082,0.5279476684673857,0.7332750277863811,0.7248370838381629,0.7490754034828544,0.7233019076977922
